GEOID,TotalPop,TotalHH,PopWhite,PerWhite,PopBlack,PerBlack,PopAsian,PerAsian,PopAmeInd,PerAmeInd,PopNative,PerNative,PopOthers,PerOthers,Pop2races,Per2races,PopHispnc,PerHispnc,PopNonHisp,PerNonHisp,Pop<15,Per<15,Pop15_64,Per15_64,Pop65+,Per65+,PopEmploy,PerEmploy,PopUnemp,PerUnemp,Pop25wDip,Per25wDip,Pop25woDip,Per25woDip,OwnerHH,PerOwnerHH,RenterHH,PerRentHH,Vehicle,PerVehicle,NoVehicle,PerNoVehi
490351145002,1022,281,634,62.04,23,2.25,27,2.64,0,0,83,8.12,255,24.95,0,0,371,36.3,651,63.7,314,30.97,642,63.31,58,5.72,539,95.23,27,4.77,506,77.37,148,22.63,184,65.48,97,34.52,275,97.86,6,2.14
490351145003,5403,1452,1974,36.54,191,3.54,1277,23.64,39,0.72,572,10.59,1089,20.16,261,4.83,1526,28.24,3877,71.76,1430,27.32,3590,68.59,214,4.09,2768,97.12,82,2.88,2827,91.31,269,8.69,593,40.84,859,59.16,1410,97.11,42,2.89
490351146001,1839,576,1822,99.08,0,0,0,0,0,0,0,0,0,0,17,0.92,63,3.43,1776,96.57,349,18.91,1202,65.11,295,15.98,1087,97.14,32,2.86,1134,91.38,107,8.62,554,96.18,22,3.82,554,96.18,22,3.82
490351146002,2850,778,2650,92.98,20,0.7,46,1.61,17,0.6,0,0,117,4.11,0,0,209,7.33,2641,92.67,665,23.35,2023,71.03,160,5.62,1472,96.34,56,3.66,1581,91.76,142,8.24,675,86.76,103,13.24,778,100,0,0
490351146003,2178,698,2152,98.81,0,0,26,1.19,0,0,0,0,0,0,0,0,15,0.69,2163,99.31,387,17.71,1452,66.45,346,15.84,1072,97.28,30,2.72,1443,95.44,69,4.56,698,100,0,0,698,100,0,0
490351147001,2389,736,1298,54.33,11,0.46,258,10.8,93,3.89,145,6.07,379,15.86,205,8.58,788,32.98,1601,67.02,484,20.31,1631,68.44,268,11.25,1464,97.47,38,2.53,1269,84.43,234,15.57,630,85.6,106,14.4,711,96.6,25,3.4
490351147002,2149,751,1088,50.63,36,1.68,23,1.07,7,0.33,20,0.93,719,33.46,256,11.91,1094,50.91,1055,49.09,380,17.92,1528,72.04,213,10.04,1232,99.52,6,0.48,1267,86.01,206,13.99,671,89.35,80,10.65,694,92.41,57,7.59
490351148001,1714,562,1556,90.78,0,0,71,4.14,0,0,0,0,14,0.82,73,4.26,45,2.63,1669,97.37,279,16.38,1038,60.95,386,22.67,833,100,0,0,1189,95.35,58,4.65,552,98.22,10,1.78,562,100,0,0
490351148002,883,319,808,91.51,0,0,29,3.28,13,1.47,0,0,0,0,33,3.74,10,1.13,873,98.87,126,14.09,588,65.77,180,20.13,533,100,0,0,655,98.64,9,1.36,309,96.87,10,3.13,310,97.18,9,2.82
490351148003,1126,351,942,83.66,2,0.18,85,7.55,3,0.27,7,0.62,9,0.8,78,6.93,67,5.95,1059,94.05,99,8.9,792,71.22,221,19.87,638,95.22,32,4.78,712,99.3,5,0.7,321,91.45,30,8.55,342,97.44,9,2.56
490351151061,17049,4264,15160,88.92,29,0.17,460,2.7,39,0.23,466,2.73,98,0.57,797,4.67,1688,9.9,15361,90.1,5326,32.51,10493,64.05,563,3.44,7839,97.11,233,2.89,8511,98.05,169,1.95,3939,92.38,325,7.62,4243,99.51,21,0.49
490351152091,5496,1584,4916,89.45,43,0.78,196,3.57,0,0,50,0.91,190,3.46,101,1.84,286,5.2,5210,94.8,1367,25.49,3465,64.62,530,9.88,2770,98.12,53,1.88,3180,98.64,44,1.36,1563,98.67,21,1.33,1543,97.41,41,2.59
490351152092,5690,1512,4360,76.63,90,1.58,159,2.79,0,0,0,0,768,13.5,313,5.5,1571,27.61,4119,72.39,1603,28.57,3752,66.87,256,4.56,2629,96.27,102,3.73,2528,90.03,280,9.97,665,43.98,847,56.02,1456,96.3,56,3.7
490359800001,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,11,100,0,0,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!
